name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Kyle Burroughs,1100000.0,3,0.18,29.0,1349313.6556995881,249313.65569958813
Bryan Rust,5125000.0,65,27.94,32.0,5627216.684506392,502216.6845063921
Lucas Raymond,8075000.0,80,24.67,22.0,7564017.696717553,-510982.30328244716
Nick Leddy,4000000.0,5,0.65,33.0,3492836.1181627796,-507163.8818372204
Dylan Samberg,5750000.0,20,3.17,26.0,5213607.0671525225,-536392.9328474775
Chris Wagner,775000.0,1,2.66,33.0,1089430.1993147505,314430.1993147505
Darren Raddysh,975000.0,37,5.55,28.0,2695401.4952033777,1720401.4952033777
Justin Holl,3400000.0,8,1.7,33.0,2733105.2853339803,-666894.7146660197
Wyatt Kaiser,1700000.0,8,2.07,22.0,2037068.1861835571,337068.18618355715
Phillip Di Giuseppe,775000.0,6,1.88,31.0,846690.0820974521,71690.08209745213
Adam Lowry,3250000.0,34,17.19,31.0,3452532.593195096,202532.59319509612
Andrew Mangiapane,3600000.0,28,14.43,28.0,3387692.2362627275,-212307.76373727247
Calvin de Haan,800000.0,7,1.77,33.0,1439946.3756198722,639946.3756198722
Teuvo Teravainen,5400000.0,58,11.23,30.0,5233076.399199717,-166923.60080028325
Craig Smith,1000000.0,16,7.79,35.0,1653235.9916985894,653235.9916985894
J.T. Miller,8000000.0,35,21.36,31.0,6378827.90271853,-1621172.09728147
Travis Dermott,775000.0,0,0.25,28.0,1475312.072685,700312.072685
Eeli Tolvanen,3475000.0,35,16.07,25.0,3370982.907537377,-104017.09246262303
John Marino,4400000.0,14,1.79,27.0,4417059.4720444,17059.47204439994
David Kampf,2400000.0,13,5.81,30.0,2027047.7772241577,-372952.2227758423
Morgan Barron,1850000.0,15,12.25,26.0,2017405.5239707772,167405.52397077717
Anders Lee,7000000.0,54,34.76,34.0,6850222.145677865,-149777.85432213545
Jake Neighbours,3750000.0,46,19.21,22.0,3828476.388765687,78476.38876568712
